"","Sample","KO3016","KO3017","KO3018","KO3019","KO3020","KO3021","KO3022","KO3023","KO3024","KO3025","KO3026","KO3027","KO3028","KO3029","KO3030","KO3031","KO3032","KO3033","KO3034","KO3035","KO3036","KO3037","KO3038","KO3039","KO3040","KO3041","KO3042","KO3043","KO3044","KO9494","KO9495","KO9496","KO9497","KO9498","KO9499","KO9500","KO9501","KO9502","KO9503","KO9504","KO9505"
"11","PW2_18-Aug",6762482757.54764,424312643.610832,6629885.05641925,265195402.25677,251935632.143932,258565517.200351,0,99448275.8462888,0,0,26519540.225677,139227586.184804,1014372413.63215,119337931.015547,358013793.04664,225416091.918255,0,185636781.579739,179006896.52332,33149425.2820963,46409195.3949348,0,6629885.05641925,0,0,26519540.225677,86188505.7334503,26519540.225677,13259770.1128385,9772450573.16198,26519540.225677,198896551.692578,59668965.5077733,139227586.184804,92818390.7898696,0,735917241.262537,344754022.933801,0,33149425.2820963,13259770.1128385
"12","PW3_18-Aug",4105348547.91835,247362438.93377,0,169247984.533632,199625827.911463,225663979.378176,0,26038151.4667126,0,4339691.91111877,26038151.4667126,56415994.8445439,681331630.045646,69435070.5779003,212644903.64482,112831989.689088,0,143209833.066919,86793838.2223753,43396919.1111877,8679383.82223753,0,0,0,4339691.91111877,30377843.3778314,4339691.91111877,17358767.6444751,4339691.91111877,5941038226.32159,17358767.6444751,121511373.511325,60755686.7556627,73774762.489019,112831989.689088,0,299438741.867195,212644903.64482,0,60755686.7556627,0
"13","CW3_18-Jun",2367408981.44753,173302605.089174,1589932.15678142,101755658.034011,74726811.3687266,131964369.012858,0,15899321.5678142,0,0,30208710.9788469,71546947.0551637,243259619.987557,39748303.9195354,232130094.890087,101755658.034011,4769796.47034425,95395929.406885,69957014.8983823,7949660.78390708,4769796.47034425,0,3179864.31356283,0,0,14309389.4110327,11129525.0974699,12719457.2542513,11129525.0974699,3249821328.46122,6359728.62712567,87446268.6229779,0,44518100.3898797,38158371.762754,7949660.78390708,182842198.029863,87446268.6229779,0,28618778.8220655,0
"14","PW1_18-Jun",3857402341.25911,269512827.336881,0,155812103.304135,168445517.085551,261090551.482604,0,37900241.3442489,0,0,25266827.5628326,88433896.4699142,488491999.548097,122122999.887024,261090551.482604,134756413.668441,0,155812103.304135,63167068.9070816,21055689.6356939,8422275.85427754,0,0,0,4211137.92713877,12633413.7814163,8422275.85427754,12633413.7814163,4211137.92713877,5327089477.83054,21055689.6356939,155812103.304135,21055689.6356939,80011620.6156366,71589344.7613591,0,341102172.09824,172656655.01269,0,33689103.4171102,0
"15","PW2_18-Jun",4540236518.40774,280172823.129592,7183918.5417844,208333637.711748,71839185.417844,280172823.129592,0,28735674.1671376,0,7183918.5417844,7183918.5417844,57471348.3342752,589081320.426321,136494452.293904,359195927.08922,179597963.54461,7183918.5417844,179597963.54461,122126615.210335,21551755.6253532,21551755.6253532,0,7183918.5417844,0,0,28735674.1671376,7183918.5417844,7183918.5417844,7183918.5417844,6163802108.85102,71839185.417844,71839185.417844,21551755.6253532,107758778.126766,79023103.9596284,0,359195927.08922,272988904.587807,0,14367837.0835688,0
"16","PW3_18-Jun",3875985672.99672,292287444.193195,2118024.9579217,182150146.381266,148261747.054519,156733846.886206,0,57186673.8638859,0,2118024.9579217,16944199.6633736,69894823.6114162,650233662.081962,67776798.6534945,279579294.445665,150379772.012441,2118024.9579217,160969896.802049,86839023.2747898,25416299.4950604,4236049.9158434,0,8472099.83168681,0,2118024.9579217,19062224.6212953,21180249.579217,6354074.8737651,2118024.9579217,5424261917.23748,19062224.6212953,112255322.76985,25416299.4950604,105901247.896085,78366923.443103,0,313467693.772412,190622246.212953,2118024.9579217,55068648.9059642,6354074.8737651
"17","CW1_18-Aug",1736320309.79804,113411906.159762,0,68686084.01225,52712576.1024244,68686084.01225,0,23960261.8647384,0,1597350.79098256,23960261.8647384,142164220.397448,250784074.184262,35141717.4016163,143761571.18843,79867539.5491279,11181455.5368779,76672837.9671628,43128471.3565291,4792052.37294768,3194701.58196512,0,0,0,3194701.58196512,11181455.5368779,31947015.8196512,7986753.95491279,14376157.118843,2509438092.6336,3194701.58196512,65491382.4302849,1597350.79098256,38336418.9835814,51115225.3114419,0,107022502.995831,78270188.7581454,0,14376157.118843,0
"18","CW2_18-Aug",6076503334.2084,416424033.72393,0,197253489.658704,136981590.040766,219170544.065226,0,98626744.8293518,0,0,109585272.032613,449299615.333714,947912603.082103,115064535.634244,498612987.748389,306838761.691317,32875581.6097839,175336435.252181,93147481.2277211,16437790.804892,0,0,5479263.60163065,0,5479263.60163065,82188954.0244598,104106008.430982,27396318.0081533,65751163.2195678,8646277963.37317,38354845.2114146,290400970.886425,0,115064535.634244,87668217.6260905,0,295880234.488055,208212016.861965,0,43834108.8130452,5479263.60163065
"19","CW1_18-Oct",645701803.460464,46537066.9160695,831019.052072669,18282419.1455987,17451400.0935261,20775476.3018167,0,5817133.36450869,0,831019.052072669,10803247.6769447,44875028.8119242,114680629.186028,6648152.41658136,54847257.4367962,37395857.3432701,5817133.36450869,22437514.4059621,12465285.78109,2493057.15621801,1662038.10414534,0,0,0,0,7479171.46865403,7479171.46865403,831019.052072669,17451400.0935261,915782995.384082,1662038.10414534,21606495.3538894,0,18282419.1455987,10803247.6769447,831019.052072669,27423628.7183981,29085666.8225434,0,4155095.26036335,0
"20","CW2_18-Oct",6624362741.12183,426302023.071634,0,292850954.979644,151985938.660322,296557929.093311,0,59311585.8186621,0,0,81553430.5006604,300264903.206977,1100971311.75892,126037119.864657,641306521.664284,326213722.002642,25948818.7956647,274316084.411312,155692912.773988,22241844.6819983,11120922.3409992,3706974.11366638,22241844.6819983,3706974.11366638,0,22241844.6819983,29655792.9093311,88967378.7279932,70432508.1596613,8778114701.162,7413948.22733277,248367265.615648,7413948.22733277,44483689.3639966,189055679.796986,3706974.11366638,281730032.638645,259488187.956647,0,33362767.0229975,3706974.11366638
