"","taxID","taxonomy","genome","Kingdom","Clade","Superphylum","Phylum","Class","Order","Family","Genus","Species","Sample","Abundance","Date","Site","Subsample"
"27","taxa38434","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales",NA,NA,NA,"CW2_19-Feb",0,"19-Feb","CW","CW2"
"28","taxa38434","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales",NA,NA,NA,"PW2_19-Feb",0,"19-Feb","PW","PW2"
"29","taxa38434","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales",NA,NA,NA,"PW3_19-Feb",0,"19-Feb","PW","PW3"
"30","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"CW1_18-Apr",0,"18-Apr","CW","CW1"
"31","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"CW2_18-Apr",0,"18-Apr","CW","CW2"
"32","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"CW3_18-Apr",0,"18-Apr","CW","CW3"
"33","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"PW1_18-Apr",0,"18-Apr","PW","PW1"
"34","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"PW2_18-Apr",0,"18-Apr","PW","PW2"
"35","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"PW3_18-Apr",0,"18-Apr","PW","PW3"
"36","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"CW1_18-Jun",0,"18-Jun","CW","CW1"
"37","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"CW2_18-Jun",0,"18-Jun","CW","CW2"
"38","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"CW3_18-Aug",0,"18-Aug","CW","CW3"
"39","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"PW1_18-Aug",0,"18-Aug","PW","PW1"
"40","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"PW2_18-Aug",0,"18-Aug","PW","PW2"
"41","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"PW3_18-Aug",0,"18-Aug","PW","PW3"
"42","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"CW3_18-Jun",0,"18-Jun","CW","CW3"
"43","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"PW1_18-Jun",0,"18-Jun","PW","PW1"
"44","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"PW2_18-Jun",0,"18-Jun","PW","PW2"
"45","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"PW3_18-Jun",0,"18-Jun","PW","PW3"
"46","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"CW1_18-Aug",0,"18-Aug","CW","CW1"
"47","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"CW2_18-Aug",0,"18-Aug","CW","CW2"
"48","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"CW1_18-Oct",0,"18-Oct","CW","CW1"
"49","taxa38435","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;Nitrosoarchaeum family incertae sedis;Ca. Nitrosoarchaeum;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","Nitrosoarchaeum family incertae sedis","Ca. Nitrosoarchaeum",NA,"CW2_18-Oct",0,"18-Oct","CW","CW2"
